# of Use,# de Uso
%1$s incl tax.,%1$s incl imp.
%s - %s,%s - %s
%s Item(s),%s Artículo(s)
%s and above,%s y superior
%s-%s of %s,%s-%s of %s
Retrieve product image types,Recuperar tipos de imagenes de producto
Retrieve product link type attributes,Recuperar tipo de atributos de enlace de producto
Retrieve product link types,Recuperar tipos de enlace del producto
Retrieve product tier prices,Recuperar los precios de nivel de producto
Retrieve product types,Recuperar los tipos de productos
Retrieve products data,Recuperar datos de productos
Retrieve products list by filters,Recuperar la lista de los productos por los filtros
Reviews,Reseñas
Roll Over for preview,Roll Over para vista previa
Root,Raíz
SKU,SKU
SKU length should be %s characters maximum.,Longitud de SKU debería ser %s caracteres máximo.
Save,Guardar
Save Attribute,Guardar Atributo
Save Attribute Set,Guardar Conjunto de Atributos
Save Category,Guardar Categoría
Save Search,Guardar Busqueda
Save and Continue Edit,Guardar y Continuar Editando
Saved %d record(s),%d Registro(s) guardado(s)
Scope,Ámbito
"Scope must not be changed, because the attribute is used in configurable products.","El ámbito de aplicación no debe ser cambiado, porque el atributo se utiliza en productos configurables."
Search,Buscar
Search Engine Optimizations,Optimizaciones de Motor de Busqueda
Search Information,Buscar Información
Search Query,Buscar Consulta
Search Term with such search query already exists.,Término de Búsqueda con tanta consulta de búsqueda ya existe.
Searchable,Searchable
See price before order confirmation.,See price before order confirmation.
Select Category...,Seleccionar Categoría...
Select Configurable Attributes ,Select Configurable Attributes 
Select Product...,Seleccionar Producto...
Select type of option,Select type of option
Select type options required values rows.,Select type options required values rows.
Selected Product Types,Selected Product Types
Send Count,Envíar conteo. 
Set Ascending Direction,Set Ascending Direction
Set Descending Direction,Set Descending Direction
Set Name,Establecer nombre
Set Root Category for Store,Establecer Categoría Raíz para la tienda
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer categoría raíz de esta tienda en la <a href=""%s""> configuración </a>"
Set special price,Establecer precio especial
Set/Get current store view,Establecer/Obtener vista actual de la tienda
Settings,Configuraciones
Share Facebook,Compartir Facebook
Share on Facebook,Compartir en Facebook
Share on Twitter,Compartir en Twitter
Shop By,Comprar por
Shopping Options,Opciones de Compra
Show,Mostrar
Show Details,Mostrar Detalles
Show Tags,Mostrar Etiquetas
Simple Product,Producto simple
Site Map,Mapa del Sitio
Sitemap,Mapa del sitio
"Skip import row, is not valid value ""%s"" for field ""%s""","Omitir importación de fila , no es un valor válido ""% s"" para el campo ""% s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Omitir importación de fila, campo requerido ""% s"" para el nuevo cliente no está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Omitir importación de fila, el valor ""% s"" no es válido para el campo ""% s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
Small Image Width,Small Image Width
Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.,Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.
Some of the selected item options are not currently available.,Some of the selected item options are not currently available.
Sort By,Ordenar Por
Sort Order,Sort Order
Source Model,Source Model
Special Expires On: %s,Special Expires On: %s
Special Price:,Precio Especial:
Special Price: %s,Special Price: %s
Starting at:,Starting at:
Static,Estático
Static block and products,Static block and products
Static block only,Sólo Bloque Estático
Status,Estado
Stock Availability,Disponibilidad de Inventario
Store,Tienda
Store View,Vista de Tienda
Stretch,Stretch
Subscribe to RSS Feed,Subscribe to RSS Feed
Super product attributes configuration,Super product attributes configuration
Synonym For,Sinónimo para
System Properties,Propiedades de Sistema
Tag Name,Nombre de Etiqueta
Tax,Impuestos
Template,Plantilla
Text,Texto
The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module,The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module
The From Date value should be less than or equal to the To Date value.,The From Date value should be less than or equal to the To Date value.
The attribute code \'%s\' is reserved by system. Please try another attribute code,The attribute code \'%s\' is reserved by system. Please try another attribute code
The attribute model is not defined,The attribute model is not defined
The attribute set has been saved.,The attribute set has been saved.
The base directory to upload file is not specified.,The base directory to upload file is not specified.
The category has been deleted.,La categoría fue eliminada.
The category has been saved.,La categoría fue guardada.
The comparison list was cleared.,Se limpió la lista de comparación.
The file '%s' for '%s' has an invalid extension,El archivo '%s' para '%s' tiene una extensión invalida
The file '%s' you uploaded is larger than %s Megabytes allowed by server,The file '%s' you uploaded is larger than %s Megabytes allowed by server
The file you uploaded is larger than %s Megabytes allowed by server,The file you uploaded is larger than %s Megabytes allowed by server
The filters must be an array.,The filters must be an array.
The image contents is not valid base64 data.,El contenido de la imagen no es un dato base64 valido.
The image is not specified.,La imagen no está especificada.
The model collection resource name is not defined.,The model collection resource name is not defined.
The product %s has been added to comparison list.,The product %s has been added to comparison list.
The product %s has been removed from comparison list.,The product %s has been removed from comparison list.
The product attribute has been deleted.,The product attribute has been deleted.
The product attribute has been saved.,The product attribute has been saved.
The product has been created.,The product has been created.
The product has been deleted.,The product has been deleted.
The product has been duplicated.,The product has been duplicated.
The product has been saved.,The product has been saved.
The product has required options,The product has required options
The review has been deleted,The review has been deleted
The review has been saved.,The review has been saved.
The review was removed by another user or does not exist.,The review was removed by another user or does not exist.
The search was deleted.,La busqueda fue eliminada. 
The text is too long,El texto es demasiado largo
There are no %s available.,There are no %s available.
There are no customers for this alert,There are no customers for this alert
There are no customers for this alert.,There are no customers for this alert.
There are no products matching the selection.,There are no products matching the selection.
There was an error while request processing.,There was an error while request processing.
This Attribute no longer exists,Este atributo ya no existe
This attribute cannot be deleted.,This attribute cannot be deleted.
This attribute cannot be edited.,Este atributo no puede ser editado.
This attribute cannot be updated.,Este atributo no puede ser actualizado.
This attribute is used in configurable products.,This attribute is used in configurable products.
This attribute is used in configurable products. You cannot remove it from the attribute set.,This attribute is used in configurable products. You cannot remove it from the attribute set.
This attribute no longer exists,This attribute no longer exists
This attribute set no longer exists.,This attribute set no longer exists.
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
This group contains system attributes. Please move system attributes to another group and try again.,This group contains system attributes. Please move system attributes to another group and try again.
This is a required option,This is a required option
This product no longer exists.,This product no longer exists.
This search no longer exists.,This search no longer exists.
This setting will be applied when all prices in the specific price interval are equal.,This setting will be applied when all prices in the specific price interval are equal.
Tier Pricing,Tier Pricing
Tile,Tile
Time Format,Time Format
Title,Title
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
Top/Left,Top/Left
Top/Right,Top/Right
Total Qty Base Items,Total Qty Base Items
Total incl. Tax: %1$s,Total incl. Tax: %1$s
Total of %d record(s) have been deleted.,Total of %d record(s) have been deleted.
Total of %d record(s) have been updated.,Total of %d record(s) have been updated.
Total of %d record(s) were updated,Total de %d registro(s) fueron actualizados
Type,Tipo
URL Rewrite Management,Administracion de reescritura de URL 
Unable to complete this request.,Imposible comletar esta petición.
Unable to find a search term to delete.,No se puede encontrar un término de búsqueda a eliminar.
Unable to find an attribute to delete.,No se puede encontrar un atributo a eliminar.
Unable to get the product ID.,No se puede obtener el ID de producto
Unassigned Attributes,Atributos no asignados
"Unknown EAV indexer type ""%s"".","EAV Desconocido, tipo indexador ""% s""."
Unknown attribute: %s.,Atributo desconocido: %s.
"Unsupported product type ""%s"".","Este tipo de producto ""%s"" no es soportado"
Up-sells,Up-sells (Incremento en ventas)
Update,Actualizar
Update Attributes,Actualizar atributos
Update Tier Price,Actualizar nivel de precio de productos
Update assigned product,Actualizar productos asignados
Update attribute,Actualizar atributos
Update attributes,Actualizar atributos
Update category,Actualizar categoría
Update custom option of product,Actualizar opción personalizada del producto
Update product,Actualizar productos
Update product image,Actualizar imagen de producto
Update product link,Actualizar enlace de producto
Update product tier prices,Actualizar nivel de precio de productos
Update value of custom option,Actualizar valor de opción personalizada
Upload new product image ,Actualizar nueva imagen de producto
Use Canonical Link Meta Tag For Categories,Usar Meta Etíqueta de Enlace Canonical Para Categorías
Use Canonical Link Meta Tag For Products,Usar Meta Etíqueta de Enlace Canonical Para Productos
Use Categories Path for Product URLs,Usar Ruta de Categorias para URLs de Producto
Use Config Settings,Usar opciones de configuración
Use Default Value,Usar valores predeterminados
Use Flat Catalog Category,Usar Catálogo de Categorías Plano
Use Flat Catalog Product,Usar Catálogo de productos plano
Use In Layered Navigation,Usar en navegación en capas. 
Use In Search Results Layered Navigation,Usar en resultados de busqueda de Navegación en capas
Use JavaScript Calendar,Usar calendario JavaScript
Use Static URLs for Media Content in WYSIWYG for Catalog,Usar URLs estáticas para contentido de medios en WYSIWYG para catálogo
Use To Create Configurable Product,Usar para crear producto configurable
Use Tree Like Category Sitemap,Usar árbol como Categoría Mapa del sitio
Use config,Usar config
Use default,Usar predeterminado
Use for Promo Rule Conditions,Usar para condiciones de reglas de promoción
Use four-digit year format.,Usar formato de año de cuatro dígitos
Use in Advanced Search,Usar busqueda avanzada
Use in Layered Navigation,Usar en capas de navegación
Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),"Usar en capas de navegación<br/>(Puede ser usado solo con tipo de entrada de catálogo ""Desplegable"")"
Use in Quick Search,Usar en busqueda rápida
Used for Sorting in Product Listing,Useado para Ordenar en Listado de Productos
Used in Product Listing,Se utiliza en lista de productos
"Value for ""%s"" is invalid.","Valor para ""%s"" es invalido."
"Value for ""%s"" is invalid: %s","Valor para ""%s"" es invalido: %s"
Varchar,Varchar
View Details,Ver detalles
View as,Ver como
Virtual Product,Producto Virtual
Visibility,Visibilidad
Visible,Visible
Visible on Catalog Pages on Front-end,Visible en Páginas de Catalogo en Front-end
Visible on Product View Page on Front-end,Visible en Página Vista de Producto en Front-end
WYSIWYG Editor,Editor WYSIWYG 
Watermark,Marca de Agua
Watermark Default Size,Tamaño de marca de agua predeterminado
"Watermark Opacity, Percent","Opacidad de Marca de Agua, Porcentaje"
Watermark Position,Posición de Marca de Agua
We Also Recommend,También recomendamos
Website,Página web
Websites,Sitios web
What's this?,¿Qué es esto?
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Ya sea para mostrar ""Todas"" las opciones en el menú desplegable ""Mostrar X por Página""."
Will make search for the query above return results for this search.,Se hará una busqueda para la consulta anterior y se regresará un resultado para esta busqueda.
Wrong BuyRequest instance in options group.,Instancia de solicitud de compra incorrecta en este grupo de opciones.
Wrong configuration item instance in options group.,Configuración incorrecta de la instancia del artículo en este grupo de opciones.
Wrong configuration item option instance in options group.,Configuración incorrecta en este grupo de opciones.
Wrong option instance type in options group.,Opción de tipo de instancia incorrecta en este grupo de opciones.
Wrong option type to get group instance.,Tipo de opción incorrecta para obtener instancia de grupo.
Wrong product instance type in options group.,Tipo de instancia de producto incorrecta en este grupo de opciones.
Wrong product type filter specified,Tipo incorrecto especificado de filtro de producto 
Wrong product type to extract configurable options.,Tipo de producto incorrecto para extraer opciones configurables.
Year Range,Rango de año
Yes,Sí
You cannot remove system attribute from this set.,No puedes quitar atributo de sistema de este conjunto. 
You have no items to compare.,No tienes artículos que comparar. 
You may also be interested in the following product(s),Puede que también estés interesado en los siguientes productos
Zoom In,Zoom In
Zoom Out,Zoom Out
and,y 
and above,y superior
categories,categorías
each,cada
ex. http://domain.com,ej. http://dominio.com
leave blank if its not an image,dejar en blanco si no es una imagen
per page,por página
products,productos
px.,px.
save,guardar
select all,seleccionar todos
unselect all,deseleccionar todos
x,x
